Track Name,Album Name,Album Release Date,Track Duration,Track Popularity,Track Streams
"Down Bad (with JID & Bas feat. J. Cole, EARTHGANG & Young Nudy)",Revenge Of The Dreamers III: Director's Cut,16-01-20,169146,,
LamboTruck (with Cozz feat. REASON & Childish Major),Revenge Of The Dreamers III: Director's Cut,16-01-20,229386,,
"Swivel (feat. EARTHGANG) - From The Album ""Mirrorland""",Revenge Of The Dreamers III: Director's Cut,16-01-20,194613,,
"Oh Wow...Swerve (feat. J. Cole, Zoink Gang, KEY! & Maxo Kream)",Revenge Of The Dreamers III: Director's Cut,16-01-20,275986,,
"Don't Hit Me Right Now (feat. Bas, Cozz, Yung Baby Tate, Guapdad 4000 & Buddy)",Revenge Of The Dreamers III: Director's Cut,16-01-20,174360,,
"Wells Fargo (feat. JID, EARTHGANG, Buddy & Guapdad 4000) - Interlude",Revenge Of The Dreamers III: Director's Cut,16-01-20,123413,,
"Sleep Deprived (feat. Lute, Omen, Mez & DaVionne)",Revenge Of The Dreamers III: Director's Cut,16-01-20,238453,,
"Self Love (feat. Ari Lennox, Bas & Baby Rose)",Revenge Of The Dreamers III: Director's Cut,16-01-20,223013,,
"Ladies, Ladies, Ladies (feat. JID & T.I.)",Revenge Of The Dreamers III: Director's Cut,16-01-20,167786,,
"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy, Ski Mask The Slump God)",Revenge Of The Dreamers III: Director's Cut,16-01-20,217866,,
"1993 (feat. J. Cole, JID, Cozz, EARTHGANG, Smino & Buddy)",Revenge Of The Dreamers III: Director's Cut,16-01-20,210466,,
"Rembrandt...Run It Back (feat. JID, J. Cole & Vince Staples)",Revenge Of The Dreamers III: Director's Cut,16-01-20,151826,,
Sunset (feat. J. Cole & Young Nudy),Revenge Of The Dreamers III: Director's Cut,16-01-20,178373,,
Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),Revenge Of The Dreamers III: Director's Cut,16-01-20,284040,,
MIDDLE CHILD,Revenge Of The Dreamers III: Director's Cut,16-01-20,213000,,
"PTSD (feat. Omen, Mereba, Deante' Hitchcock & St. Beauty)",Revenge Of The Dreamers III: Director's Cut,16-01-20,237853,,
"Sacrifices (feat. EARTHGANG, J. Cole, Smino & Saba)",Revenge Of The Dreamers III: Director's Cut,16-01-20,382306,,
Big Black Truck (with JID),Revenge Of The Dreamers III: Director's Cut,16-01-20,152973,,
Still Up (with EARTHGANG feat. REASON),Revenge Of The Dreamers III: Director's Cut,16-01-20,205200,,
Outta Pocket (with Bas & Cozz feat. Girl Talk),Revenge Of The Dreamers III: Director's Cut,16-01-20,157213,,
"Late Night (with Cozz & Omen, feat. Buddy & Landstrip Chip)",Revenge Of The Dreamers III: Director's Cut,16-01-20,196920,,
"Spin Move (with Bas feat. Saba, Smino & The Hics)",Revenge Of The Dreamers III: Director's Cut,16-01-20,223533,,
BUSSIT (with Ari Lennox),Revenge Of The Dreamers III: Director's Cut,16-01-20,150720,,
"Passcode (with Ari Lennox feat. Buddy, Smino, Mez & Guapdad 4000)",Revenge Of The Dreamers III: Director's Cut,16-01-20,206000,,
Up Up Away (with JID & EARTHGANG feat. Vince Staples),Revenge Of The Dreamers III: Director's Cut,16-01-20,199706,,
"No Chorus (with Bas feat. Buddy, Guapdad 4000 & Dreezy)",Revenge Of The Dreamers III: Director's Cut,16-01-20,202213,,
Disgusted (with Cozz feat. Childish Major),Revenge Of The Dreamers III: Director's Cut,16-01-20,163053,,
"Revenge (with Lute & Omen feat. Ari Lennox, EARTHGANG, Childish Major & REASON)",Revenge Of The Dreamers III: Director's Cut,16-01-20,333226,,
Still Dreamin (with JID & Lute feat. 6LACK),Revenge Of The Dreamers III: Director's Cut,16-01-20,261053,,
Under The Sun (with J. Cole & Lute feat. DaBaby),Revenge Of The Dreamers III,05-07-19,202040,,
"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",Revenge Of The Dreamers III,05-07-19,169146,,
LamboTruck (with Cozz feat. REASON & Childish Major),Revenge Of The Dreamers III,05-07-19,229386,,
"Swivel (with EARTHGANG) - From The Album ""Mirrorland""",Revenge Of The Dreamers III,05-07-19,194613,,
"Oh Wow...Swerve (with J. Cole feat. Zoink Gang, KEY! & Maxo Kream)",Revenge Of The Dreamers III,05-07-19,275986,,
"Don't Hit Me Right Now (with Bas & Cozz feat. Yung Baby Tate, Guapdad 4000 & Buddy)",Revenge Of The Dreamers III,05-07-19,174360,,
Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude,Revenge Of The Dreamers III,05-07-19,123413,,
Sleep Deprived (with Lute & Omen feat. Mez & DaVionne),Revenge Of The Dreamers III,05-07-19,238453,,
Self Love (with Ari Lennox & Bas feat. Baby Rose),Revenge Of The Dreamers III,05-07-19,223013,,
"Ladies, Ladies, Ladies (with JID feat. T.I.)",Revenge Of The Dreamers III,05-07-19,167786,,
"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Revenge Of The Dreamers III,05-07-19,217866,,
"1993 (with J. Cole, JID, Cozz & EARTHGANG feat. Smino & Buddy)",Revenge Of The Dreamers III,05-07-19,210466,,
Rembrandt...Run It Back (with JID & J. Cole feat. Vince Staples),Revenge Of The Dreamers III,05-07-19,151826,,
Sunset (with J. Cole feat. Young Nudy),Revenge Of The Dreamers III,05-07-19,178373,,
Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),Revenge Of The Dreamers III,05-07-19,284040,,
MIDDLE CHILD,Revenge Of The Dreamers III,05-07-19,213000,,
"PTSD (with Omen feat. Mereba, Deante' Hitchcock & St. Beauty)",Revenge Of The Dreamers III,05-07-19,237853,,
Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),Revenge Of The Dreamers III,05-07-19,382306,,
Under The Sun (with J. Cole & Lute feat. DaBaby),Revenge Of The Dreamers III,04-07-19,202040,,
"Down Bad (with JID & Bas feat. J. Cole, EARTHGANG & Young Nudy)",Revenge Of The Dreamers III,04-07-19,169146,,
